Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Urban Road,Rainy,1.4,Wet,Daylight,66.5,High,Bus,22,27,Yes,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,No,No,No,No,-7.7,1
Rural Road,Windy,9.3,Dry,Daylight,100.9,Low,Motorcycle,58,25,Yes,Yes,Morning,Friday,Rural,Sharp Curve,T-Junction,No,Yes,No,No,14.7,0
Urban Road,Clear,6.1,Wet,Daylight,33.7,Medium,Car,46,33,No,No,Night,Wednesday,Urban,Sharp Curve,T-Junction,Yes,No,No,No,39.6,0
Highway,Snowy,6.7,Dry,Daylight,150.9,Low,Bus,52,31,No,Yes,Evening,Monday,Rural,Sharp Curve,Crossroad,Yes,Yes,No,No,18.6,1
Residential,Clear,4.1,Dry,Dark - Lit,67.2,High,Bus,67,21,No,Yes,Morning,Monday,Rural,Slight Curve,T-Junction,Yes,Yes,No,No,1.9,0
Rural Road,Clear,9.1,Dry,Dark - Unlit,159.7,Low,Truck,51,19,No,Yes,Afternoon,Saturday,Urban,Straight,Crossroad,No,Yes,Yes,No,40.4,1
Highway,Clear,6.5,Dry,Dark - Lit,157.0,Medium,Truck,21,13,No,Yes,Night,Friday,Urban,Straight,Crossroad,No,No,Yes,No,41.7,1
Residential,Clear,7.7,Dry,Daylight,129.0,High,Car,62,22,No,Yes,Evening,Thursday,Rural,Slight Curve,No Junction,Yes,No,Yes,No,5.1,0
Residential,Rainy,3.8,Dry,Dark - Unlit,22.8,Medium,Motorcycle,66,2,No,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,Yes,No,Yes,No,-0.4,0
Urban Road,Clear,9.6,Dry,Dark - Unlit,96.1,Medium,Motorcycle,26,18,No,Yes,Evening,Tuesday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,-5.0,0
Highway,Rainy,8.2,Dry,Dusk/Dawn,32.2,High,Truck,68,13,No,Yes,Evening,Saturday,Urban,Sharp Curve,No Junction,No,No,No,No,32.4,0
Residential,Windy,8.6,Dry,Daylight,145.3,Medium,Truck,31,39,Yes,No,Night,Tuesday,Urban,Straight,No Junction,No,No,No,Yes,29.3,1
Rural Road,Clear,1.9,Dry,Daylight,130.5,Medium,Motorcycle,62,38,No,Yes,Evening,Friday,Rural,Slight Curve,No Junction,No,No,No,No,32.2,0
Rural Road,Foggy,2.9,Wet,Dark - Lit,156.1,Medium,Bus,22,36,No,Yes,Afternoon,Monday,Urban,Straight,No Junction,Yes,Yes,No,No,-1.1,1
Urban Road,Clear,3.0,Wet,Dark - Unlit,105.2,High,Car,67,34,No,Yes,Evening,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,Yes,43.6,1
Residential,Foggy,2.9,Dry,Dark - Unlit,93.1,Medium,Car,73,0,No,Yes,Evening,Wednesday,Rural,Straight,Roundabout,Yes,No,Yes,No,0.5,1
Highway,Clear,8.6,Dry,Daylight,92.7,Low,Car,64,18,No,Yes,Morning,Sunday,Rural,Straight,No Junction,No,Yes,No,No,-7.9,0
Rural Road,Clear,0.5,Wet,Dusk/Dawn,74.1,Low,Truck,44,14,No,No,Morning,Wednesday,Urban,Sharp Curve,T-Junction,Yes,No,No,No,11.6,0
Residential,Clear,0.9,Dry,Daylight,85.6,Medium,Bus,28,24,No,Yes,Afternoon,Sunday,Rural,Slight Curve,Roundabout,Yes,No,No,Yes,20.5,0
Residential,Clear,2.9,Muddy,Dark - Unlit,109.0,Low,Car,47,0,No,Yes,Evening,Wednesday,Urban,Straight,Roundabout,Yes,Yes,No,Yes,12.9,0
Urban Road,Clear,2.2,Wet,Dusk/Dawn,150.6,Low,Bus,68,30,No,Yes,Morning,Tuesday,Urban,Sharp Curve,No Junction,Yes,No,Yes,No,16.7,1
Rural Road,Foggy,2.5,Dry,Dusk/Dawn,103.4,High,Truck,54,36,No,Yes,Afternoon,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,20.9,1
Rural Road,Windy,8.0,Dry,Dark - Unlit,140.0,Medium,Truck,56,21,No,Yes,Evening,Friday,Rural,Slight Curve,No Junction,Yes,No,No,No,1.6,1
Highway,Snowy,5.7,Dry,Daylight,140.8,High,Motorcycle,51,19,No,Yes,Afternoon,Tuesday,Urban,Straight,T-Junction,No,Yes,No,No,36.3,1
Rural Road,Foggy,0.3,Dry,Daylight,92.6,Medium,Bus,68,4,No,No,Evening,Monday,Rural,Straight,No Junction,Yes,Yes,Yes,No,4.6,0
Highway,Clear,4.4,Dry,Daylight,68.6,Low,Bus,41,14,Yes,Yes,Night,Thursday,Urban,Straight,T-Junction,Yes,No,No,No,44.9,0
Rural Road,Clear,4.2,Dry,Dark - Lit,109.5,High,Bus,33,1,Yes,No,Morning,Saturday,Rural,Straight,Roundabout,No,No,No,No,43.6,1
Urban Road,Clear,1.3,Wet,Dark - Lit,82.4,High,Motorcycle,47,11,No,Yes,Night,Monday,Urban,Straight,T-Junction,No,No,No,Yes,7.1,1
Rural Road,Clear,6.8,Dry,Dusk/Dawn,31.4,Low,Car,41,6,No,Yes,Evening,Wednesday,Urban,Straight,No Junction,No,No,No,No,19.1,0
Highway,Rainy,7.1,Dry,Daylight,72.9,Low,Car,20,1,No,No,Night,Saturday,Urban,Straight,Crossroad,Yes,No,No,No,41.0,1
Highway,Rainy,7.3,Wet,Dark - Lit,159.2,Medium,Truck,46,7,No,Yes,Night,Sunday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,20.6,1
Urban Road,Clear,7.3,Dry,Dusk/Dawn,26.8,Medium,Motorcycle,59,8,No,Yes,Morning,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,33.0,0
Rural Road,Clear,0.2,Dry,Dark - Unlit,117.5,Low,Bus,29,26,No,Yes,Night,Thursday,Urban,Straight,No Junction,Yes,No,No,No,15.6,0
Rural Road,Snowy,9.5,Dry,Dark - Unlit,137.8,Low,Motorcycle,72,27,No,Yes,Evening,Saturday,Rural,Slight Curve,Crossroad,No,Yes,Yes,No,15.9,1
Urban Road,Snowy,8.2,Wet,Daylight,110.8,High,Truck,44,36,Yes,Yes,Evening,Tuesday,Urban,Straight,Roundabout,Yes,Yes,No,No,10.4,0
Rural Road,Clear,9.1,Muddy,Dark - Unlit,99.8,High,Car,46,14,No,Yes,Night,Thursday,Rural,Straight,No Junction,No,Yes,Yes,No,16.7,0
Rural Road,Windy,0.4,Dry,Dark - Unlit,119.1,Medium,Car,19,18,No,Yes,Morning,Wednesday,Rural,Slight Curve,No Junction,No,Yes,No,Yes,-6.9,1
Highway,Windy,9.4,Dry,Dark - Unlit,80.1,High,Truck,74,29,No,No,Morning,Thursday,Urban,Sharp Curve,T-Junction,Yes,Yes,No,No,43.3,1
Rural Road,Clear,8.1,Dry,Dusk/Dawn,32.8,Low,Motorcycle,46,12,No,Yes,Night,Wednesday,Urban,Straight,No Junction,No,No,Yes,No,36.7,0
Rural Road,Clear,8.4,Dry,Dark - Unlit,154.7,Low,Truck,57,5,No,Yes,Morning,Tuesday,Urban,Slight Curve,No Junction,Yes,Yes,No,Yes,36.8,1
Urban Road,Rainy,1.1,Dry,Dark - Unlit,80.5,Low,Bus,74,29,No,Yes,Night,Tuesday,Rural,Slight Curve,Crossroad,No,Yes,No,No,27.3,0
Urban Road,Windy,7.4,Icy,Dusk/Dawn,113.2,Low,Bus,26,0,No,No,Night,Saturday,Rural,Sharp Curve,T-Junction,Yes,Yes,No,No,0.6,1
Residential,Windy,9.6,Muddy,Dark - Lit,94.4,Medium,Truck,72,37,No,Yes,Afternoon,Tuesday,Urban,Sharp Curve,T-Junction,Yes,No,Yes,No,1.8,0
Highway,Clear,6.8,Dry,Dusk/Dawn,27.7,Low,Bus,69,24,No,Yes,Night,Wednesday,Urban,Sharp Curve,Crossroad,Yes,No,Yes,No,-5.2,0
Rural Road,Clear,5.8,Dry,Dark - Lit,153.4,Low,Bus,61,34,No,No,Morning,Monday,Rural,Slight Curve,No Junction,No,No,No,No,33.0,1
Rural Road,Rainy,9.5,Wet,Dusk/Dawn,131.0,Low,Car,45,25,Yes,Yes,Evening,Monday,Rural,Straight,Roundabout,No,No,Yes,No,39.3,1
Residential,Rainy,4.5,Dry,Daylight,40.9,Low,Motorcycle,54,12,No,Yes,Night,Thursday,Urban,Slight Curve,T-Junction,No,No,No,No,23.9,0
Rural Road,Clear,6.1,Dry,Dark - Unlit,157.4,Medium,Car,40,18,No,Yes,Afternoon,Tuesday,Urban,Slight Curve,T-Junction,No,Yes,No,No,36.7,1
Highway,Windy,4.9,Dry,Dark - Lit,123.2,Medium,Car,30,9,No,Yes,Afternoon,Saturday,Urban,Straight,Roundabout,Yes,No,Yes,No,39.8,0
Residential,Foggy,9.3,Dry,Dusk/Dawn,86.1,High,Motorcycle,22,6,No,Yes,Afternoon,Monday,Rural,Straight,Roundabout,No,No,No,Yes,-1.9,0
Highway,Snowy,0.9,Dry,Dark - Lit,105.6,Medium,Car,49,14,No,No,Afternoon,Friday,Rural,Slight Curve,Crossroad,No,No,No,No,11.2,1
Residential,Windy,5.1,Wet,Dark - Lit,34.9,Medium,Bus,45,22,No,Yes,Morning,Tuesday,Rural,Slight Curve,T-Junction,No,Yes,No,No,-2.4,0
Residential,Foggy,6.9,Wet,Dark - Unlit,98.5,Medium,Truck,32,35,No,Yes,Evening,Saturday,Urban,Slight Curve,No Junction,Yes,Yes,Yes,Yes,11.8,1
Urban Road,Clear,8.0,Dry,Dark - Lit,30.3,High,Truck,41,30,No,Yes,Night,Friday,Rural,Straight,Crossroad,No,No,No,Yes,15.8,0
Highway,Rainy,5.9,Dry,Dusk/Dawn,96.3,Low,Motorcycle,49,7,Yes,Yes,Night,Sunday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,29.1,1
Rural Road,Clear,9.1,Muddy,Daylight,97.4,High,Truck,38,29,No,Yes,Evening,Saturday,Urban,Straight,No Junction,No,No,Yes,No,26.8,0
Rural Road,Foggy,9.4,Dry,Daylight,142.4,Low,Truck,22,33,No,No,Night,Monday,Urban,Straight,Roundabout,No,No,No,No,44.4,1
Highway,Clear,0.8,Icy,Dark - Unlit,121.5,Medium,Truck,54,32,No,No,Night,Wednesday,Urban,Straight,Roundabout,No,No,No,No,2.4,1
Rural Road,Foggy,4.1,Dry,Dusk/Dawn,54.9,Low,Truck,53,0,No,Yes,Afternoon,Friday,Rural,Slight Curve,T-Junction,No,No,No,No,-1.5,0
Rural Road,Clear,0.4,Dry,Dusk/Dawn,144.4,High,Car,45,15,Yes,Yes,Afternoon,Saturday,Rural,Straight,Crossroad,No,No,No,No,30.0,1
Highway,Clear,3.4,Dry,Daylight,100.3,Low,Bus,49,10,No,Yes,Morning,Friday,Urban,Straight,No Junction,No,Yes,Yes,No,28.7,0
Residential,Clear,5.5,Icy,Dusk/Dawn,104.9,Low,Bus,40,26,No,No,Evening,Tuesday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,-2.6,1
Highway,Clear,9.1,Dry,Dark - Lit,43.7,Medium,Truck,33,21,Yes,Yes,Morning,Sunday,Rural,Straight,No Junction,No,Yes,No,No,35.0,0
Residential,Foggy,8.5,Dry,Dark - Unlit,140.1,Low,Motorcycle,67,39,No,Yes,Night,Thursday,Urban,Straight,No Junction,Yes,Yes,No,No,8.9,1
Rural Road,Foggy,1.4,Dry,Daylight,150.3,Low,Car,27,18,No,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,Yes,No,No,No,15.9,0
Rural Road,Rainy,1.1,Icy,Dark - Unlit,128.5,Medium,Truck,46,5,No,No,Afternoon,Tuesday,Rural,Sharp Curve,No Junction,Yes,No,No,No,27.8,1
Rural Road,Clear,6.0,Muddy,Dark - Lit,151.7,High,Truck,69,39,No,Yes,Afternoon,Saturday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,23.4,1
Urban Road,Clear,5.4,Muddy,Daylight,62.3,Medium,Motorcycle,44,38,No,Yes,Evening,Tuesday,Urban,Straight,T-Junction,Yes,No,No,Yes,26.7,0
Residential,Clear,2.8,Muddy,Dusk/Dawn,140.6,Low,Car,52,19,No,Yes,Night,Sunday,Urban,Straight,T-Junction,No,No,No,Yes,-3.7,1
Urban Road,Clear,9.0,Dry,Dusk/Dawn,88.4,Medium,Truck,59,2,Yes,Yes,Evening,Monday,Rural,Sharp Curve,T-Junction,Yes,No,Yes,No,5.8,1
Urban Road,Windy,9.3,Dry,Dark - Lit,42.9,Medium,Motorcycle,62,0,No,Yes,Afternoon,Thursday,Urban,Straight,No Junction,No,No,No,No,34.7,0
Highway,Clear,4.1,Dry,Daylight,113.6,Low,Car,41,22,No,Yes,Evening,Saturday,Rural,Straight,T-Junction,No,No,No,No,41.2,0
Urban Road,Clear,8.9,Dry,Dark - Unlit,115.8,High,Car,40,37,Yes,Yes,Afternoon,Thursday,Urban,Straight,Crossroad,Yes,Yes,No,No,12.7,1
Highway,Clear,4.0,Icy,Daylight,60.2,Medium,Truck,20,2,No,Yes,Evening,Wednesday,Rural,Sharp Curve,No Junction,Yes,Yes,No,Yes,42.9,1
Highway,Clear,7.4,Icy,Dusk/Dawn,23.8,High,Motorcycle,53,33,No,Yes,Evening,Wednesday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,41.2,1
Urban Road,Rainy,4.9,Dry,Daylight,48.0,Medium,Motorcycle,62,16,No,No,Afternoon,Thursday,Rural,Straight,T-Junction,No,No,No,No,36.8,0
Residential,Rainy,1.4,Wet,Daylight,76.0,Low,Truck,31,26,Yes,No,Night,Friday,Urban,Slight Curve,Crossroad,No,No,No,No,31.3,1
Residential,Clear,9.3,Muddy,Dusk/Dawn,43.5,Low,Truck,21,38,No,No,Night,Saturday,Urban,Sharp Curve,Roundabout,Yes,No,Yes,No,19.2,0
Residential,Clear,4.7,Dry,Dusk/Dawn,47.2,Medium,Truck,61,22,No,No,Evening,Friday,Urban,Slight Curve,T-Junction,No,Yes,No,Yes,1.7,0
Residential,Clear,7.4,Dry,Dark - Unlit,74.8,Medium,Motorcycle,65,37,No,Yes,Afternoon,Tuesday,Rural,Slight Curve,No Junction,Yes,No,No,No,4.0,0
Residential,Clear,3.8,Dry,Daylight,154.7,Medium,Car,59,10,No,Yes,Morning,Saturday,Rural,Sharp Curve,Crossroad,No,No,Yes,No,-1.1,1
Urban Road,Clear,0.4,Dry,Dusk/Dawn,127.0,Low,Truck,72,14,No,Yes,Evening,Thursday,Urban,Straight,No Junction,No,Yes,No,No,36.7,0
Urban Road,Windy,1.2,Wet,Dark - Lit,64.8,Medium,Bus,49,25,No,Yes,Morning,Tuesday,Rural,Slight Curve,T-Junction,No,Yes,No,No,-9.6,0
Rural Road,Rainy,5.1,Dry,Dusk/Dawn,153.2,Low,Bus,73,10,Yes,Yes,Afternoon,Friday,Rural,Straight,No Junction,No,Yes,No,No,4.7,1
Residential,Rainy,7.0,Dry,Dark - Unlit,110.4,Medium,Truck,37,6,No,Yes,Night,Sunday,Urban,Straight,Crossroad,Yes,No,No,No,23.3,0
Urban Road,Clear,3.5,Muddy,Dark - Unlit,83.8,Low,Bus,73,7,No,Yes,Night,Sunday,Rural,Straight,Crossroad,No,No,No,No,44.2,0
Rural Road,Clear,7.0,Dry,Dark - Lit,85.6,Medium,Car,34,4,No,Yes,Afternoon,Sunday,Urban,Straight,Roundabout,Yes,No,No,No,6.4,0
Residential,Rainy,7.0,Dry,Dark - Unlit,77.5,High,Car,46,16,No,No,Evening,Wednesday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,1.6,0
Highway,Foggy,7.1,Muddy,Daylight,52.6,High,Bus,74,22,No,No,Night,Saturday,Rural,Straight,Crossroad,Yes,No,No,No,-5.9,1
Rural Road,Foggy,5.0,Dry,Dark - Unlit,74.1,Low,Motorcycle,56,1,Yes,Yes,Evening,Thursday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,5.6,1
Urban Road,Clear,9.2,Dry,Dark - Lit,93.9,Medium,Truck,49,26,No,Yes,Night,Monday,Rural,Straight,T-Junction,No,No,Yes,No,35.5,0
Highway,Rainy,5.0,Icy,Dark - Unlit,93.9,High,Motorcycle,21,20,No,Yes,Night,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,-2.8,0
Highway,Clear,4.6,Dry,Dark - Lit,126.6,Medium,Car,41,6,No,No,Evening,Saturday,Rural,Straight,Crossroad,No,No,No,No,-1.8,0
Highway,Windy,2.2,Wet,Dark - Unlit,70.2,Medium,Bus,61,37,No,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,No,No,No,No,-2.1,0
Rural Road,Rainy,3.2,Dry,Dusk/Dawn,120.4,Medium,Truck,59,25,No,No,Evening,Monday,Rural,Slight Curve,No Junction,Yes,Yes,Yes,No,-3.6,1
Urban Road,Rainy,0.6,Dry,Dark - Lit,100.9,High,Bus,19,29,No,No,Morning,Tuesday,Rural,Straight,T-Junction,Yes,No,No,No,14.9,1
Highway,Clear,6.4,Dry,Dark - Unlit,154.7,Low,Bus,31,11,Yes,Yes,Night,Friday,Urban,Straight,T-Junction,No,Yes,No,No,35.5,1
Residential,Rainy,2.6,Dry,Daylight,73.9,High,Motorcycle,57,10,Yes,No,Night,Tuesday,Urban,Straight,T-Junction,Yes,Yes,Yes,No,15.3,1
Highway,Clear,3.2,Wet,Dark - Lit,146.2,Low,Motorcycle,59,16,Yes,Yes,Evening,Wednesday,Rural,Slight Curve,T-Junction,Yes,Yes,Yes,No,19.9,1
Highway,Clear,7.8,Wet,Dark - Lit,134.9,High,Bus,55,9,No,No,Afternoon,Saturday,Rural,Straight,Crossroad,Yes,No,No,No,21.5,1
Rural Road,Clear,3.4,Muddy,Dark - Unlit,109.3,Medium,Car,72,15,No,Yes,Night,Tuesday,Urban,Straight,Roundabout,No,Yes,Yes,Yes,11.2,1
Rural Road,Foggy,2.6,Wet,Dusk/Dawn,111.6,Medium,Truck,72,14,No,Yes,Morning,Tuesday,Rural,Slight Curve,T-Junction,Yes,Yes,Yes,No,8.7,1
Urban Road,Clear,1.9,Dry,Dusk/Dawn,31.9,Medium,Bus,51,14,No,Yes,Morning,Saturday,Urban,Straight,T-Junction,No,No,No,No,24.8,0
Residential,Clear,7.8,Icy,Dark - Unlit,153.0,High,Bus,63,19,No,Yes,Evening,Saturday,Urban,Slight Curve,Roundabout,No,No,No,No,9.3,1
Rural Road,Windy,1.5,Wet,Dark - Unlit,35.0,High,Bus,60,3,No,No,Night,Thursday,Rural,Sharp Curve,Crossroad,Yes,No,No,No,-3.6,1
Highway,Clear,4.6,Wet,Daylight,98.9,Low,Bus,19,31,No,No,Afternoon,Thursday,Urban,Straight,Crossroad,Yes,No,No,No,37.4,0
Urban Road,Rainy,5.2,Icy,Dark - Unlit,66.2,High,Motorcycle,53,21,No,No,Afternoon,Friday,Rural,Slight Curve,Crossroad,No,No,No,No,22.3,1
Highway,Clear,6.9,Wet,Dark - Lit,80.2,Low,Motorcycle,23,34,No,Yes,Evening,Wednesday,Urban,Slight Curve,Crossroad,No,No,Yes,No,35.6,0
Highway,Clear,6.4,Dry,Dark - Unlit,105.4,High,Car,53,13,No,Yes,Night,Wednesday,Rural,Straight,Roundabout,No,Yes,Yes,Yes,16.2,1
Rural Road,Snowy,8.1,Wet,Daylight,147.2,Medium,Truck,39,29,Yes,Yes,Afternoon,Friday,Rural,Slight Curve,No Junction,Yes,No,Yes,No,25.4,1
Urban Road,Clear,0.6,Dry,Dark - Unlit,84.1,High,Bus,22,30,No,Yes,Evening,Monday,Urban,Slight Curve,Roundabout,Yes,No,No,No,40.6,1
Residential,Rainy,3.1,Dry,Dark - Unlit,158.3,Medium,Car,55,9,Yes,Yes,Night,Tuesday,Urban,Slight Curve,T-Junction,No,No,No,No,31.2,1
Residential,Rainy,2.9,Wet,Dark - Lit,103.0,High,Motorcycle,58,5,No,Yes,Afternoon,Thursday,Urban,Straight,Crossroad,Yes,No,No,No,9.3,1
Rural Road,Rainy,1.6,Dry,Dusk/Dawn,42.5,Low,Truck,71,26,No,Yes,Morning,Saturday,Urban,Sharp Curve,T-Junction,Yes,Yes,No,No,8.1,0
Rural Road,Foggy,3.0,Dry,Dark - Unlit,46.6,High,Car,39,10,No,Yes,Night,Saturday,Rural,Slight Curve,No Junction,Yes,No,No,No,5.0,0
Urban Road,Clear,3.2,Dry,Daylight,120.3,Medium,Truck,65,35,Yes,Yes,Evening,Friday,Rural,Sharp Curve,Crossroad,No,No,No,No,16.2,0
Residential,Clear,5.3,Wet,Dark - Unlit,27.1,High,Truck,28,9,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,No,No,No,No,40.6,0
Residential,Foggy,6.7,Dry,Dark - Unlit,87.2,Low,Truck,60,15,Yes,Yes,Afternoon,Friday,Urban,Straight,T-Junction,Yes,Yes,No,No,-9.0,1
Residential,Rainy,3.9,Wet,Dark - Lit,40.8,Low,Motorcycle,73,23,No,No,Evening,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,No,31.8,1
Highway,Snowy,7.3,Dry,Dusk/Dawn,80.7,Low,Bus,48,20,No,Yes,Night,Thursday,Rural,Straight,No Junction,Yes,No,No,No,9.4,0
Residential,Snowy,3.5,Dry,Dusk/Dawn,125.0,Low,Truck,70,39,No,Yes,Night,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,34.6,1
Highway,Snowy,3.0,Dry,Dusk/Dawn,84.2,High,Car,70,35,No,Yes,Morning,Monday,Rural,Sharp Curve,T-Junction,No,No,No,No,13.9,1
Urban Road,Rainy,5.5,Wet,Dark - Unlit,42.9,Low,Truck,59,22,No,Yes,Afternoon,Wednesday,Urban,Slight Curve,T-Junction,Yes,Yes,No,No,29.7,1
Highway,Clear,0.4,Dry,Dark - Lit,55.3,High,Truck,46,20,No,No,Evening,Thursday,Rural,Straight,T-Junction,No,No,Yes,No,36.1,0
Urban Road,Snowy,1.0,Muddy,Dark - Lit,71.5,High,Motorcycle,50,31,No,Yes,Morning,Friday,Rural,Straight,T-Junction,Yes,No,No,No,15.9,1
Residential,Rainy,4.3,Muddy,Dark - Unlit,29.7,High,Car,39,16,Yes,No,Afternoon,Tuesday,Rural,Straight,T-Junction,No,No,No,No,30.3,1
Residential,Clear,9.4,Icy,Dark - Lit,101.8,Low,Truck,66,16,No,Yes,Afternoon,Monday,Rural,Straight,Crossroad,Yes,No,No,No,-6.2,0
Urban Road,Windy,7.3,Muddy,Dusk/Dawn,105.1,Low,Motorcycle,44,20,No,Yes,Afternoon,Tuesday,Rural,Straight,Crossroad,Yes,Yes,Yes,No,6.4,0
Rural Road,Windy,1.1,Dry,Dark - Lit,28.7,High,Motorcycle,25,3,Yes,No,Evening,Saturday,Rural,Straight,Roundabout,No,Yes,Yes,No,7.7,1
Urban Road,Rainy,8.5,Dry,Dark - Unlit,76.3,High,Bus,65,22,No,Yes,Evening,Tuesday,Rural,Straight,No Junction,Yes,No,No,No,16.2,0
Rural Road,Clear,7.4,Wet,Dark - Unlit,78.0,High,Bus,74,24,No,Yes,Evening,Saturday,Urban,Sharp Curve,No Junction,Yes,No,Yes,No,25.6,1
Highway,Clear,6.2,Wet,Daylight,66.7,Medium,Bus,23,31,No,No,Morning,Saturday,Rural,Slight Curve,Crossroad,No,No,No,No,15.9,0
Highway,Snowy,8.2,Icy,Daylight,98.1,Medium,Truck,63,5,No,Yes,Afternoon,Wednesday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,36.4,0
Highway,Windy,4.2,Wet,Dark - Lit,68.4,Low,Truck,42,13,No,Yes,Afternoon,Sunday,Urban,Straight,T-Junction,No,No,No,No,4.2,0
Residential,Clear,2.4,Muddy,Dark - Lit,78.3,Medium,Truck,51,37,No,No,Morning,Tuesday,Urban,Slight Curve,Crossroad,No,Yes,Yes,No,-2.6,0
Highway,Clear,5.2,Dry,Dark - Unlit,131.7,High,Motorcycle,26,37,Yes,Yes,Morning,Friday,Urban,Slight Curve,T-Junction,Yes,No,No,No,10.4,1
Rural Road,Windy,5.6,Icy,Daylight,42.7,High,Truck,53,15,No,Yes,Evening,Friday,Rural,Straight,No Junction,No,Yes,No,No,3.3,0
Highway,Clear,5.5,Wet,Daylight,106.7,Low,Motorcycle,48,31,No,No,Afternoon,Thursday,Urban,Slight Curve,T-Junction,Yes,Yes,No,No,22.6,0
Urban Road,Rainy,5.7,Wet,Dusk/Dawn,90.8,Low,Car,36,15,Yes,Yes,Night,Wednesday,Rural,Straight,T-Junction,Yes,No,Yes,No,21.4,1
Urban Road,Windy,9.5,Dry,Dusk/Dawn,62.7,Medium,Truck,66,18,Yes,Yes,Night,Thursday,Urban,Straight,No Junction,No,Yes,No,No,30.5,0
Residential,Clear,9.0,Wet,Dark - Unlit,121.9,High,Car,18,36,No,No,Morning,Sunday,Urban,Sharp Curve,No Junction,No,No,No,No,33.2,1
Urban Road,Rainy,8.8,Muddy,Dark - Unlit,97.2,Low,Bus,41,20,No,No,Morning,Tuesday,Rural,Slight Curve,Crossroad,Yes,Yes,Yes,No,-2.2,1
Rural Road,Clear,8.1,Dry,Dark - Unlit,86.8,Low,Car,51,14,No,Yes,Morning,Friday,Urban,Slight Curve,T-Junction,Yes,Yes,No,No,8.9,0
Highway,Clear,9.4,Wet,Dark - Unlit,113.5,Medium,Car,34,25,No,No,Night,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,No,-5.7,0
Residential,Snowy,1.2,Dry,Daylight,132.3,Low,Motorcycle,51,29,No,Yes,Night,Friday,Rural,Straight,No Junction,Yes,No,No,No,27.4,1
Highway,Clear,2.8,Muddy,Dark - Unlit,156.2,Medium,Motorcycle,52,39,No,Yes,Evening,Saturday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,34.1,1
Highway,Windy,5.1,Dry,Dark - Unlit,108.1,High,Motorcycle,53,14,No,No,Evening,Thursday,Rural,Straight,No Junction,Yes,Yes,No,No,42.9,1
Rural Road,Rainy,8.5,Dry,Daylight,142.4,Medium,Motorcycle,30,12,No,No,Afternoon,Monday,Rural,Sharp Curve,No Junction,Yes,Yes,No,No,42.6,1
Urban Road,Clear,5.2,Dry,Dusk/Dawn,20.2,Low,Bus,42,26,No,Yes,Evening,Wednesday,Urban,Slight Curve,No Junction,No,Yes,No,No,24.7,0
Urban Road,Clear,7.5,Wet,Dark - Unlit,94.2,Medium,Car,72,22,No,Yes,Afternoon,Thursday,Urban,Straight,No Junction,Yes,No,Yes,No,30.7,0
Highway,Clear,1.6,Dry,Dusk/Dawn,50.1,Medium,Bus,29,33,No,Yes,Evening,Tuesday,Urban,Straight,Crossroad,Yes,No,No,No,1.5,0
Residential,Clear,2.7,Wet,Daylight,33.2,High,Bus,38,33,Yes,Yes,Evening,Friday,Urban,Straight,T-Junction,No,No,No,No,22.1,1
Urban Road,Clear,7.4,Muddy,Dusk/Dawn,94.5,Medium,Motorcycle,54,22,Yes,No,Evening,Friday,Urban,Straight,Roundabout,No,No,Yes,No,8.2,1
Residential,Clear,1.8,Icy,Daylight,124.6,Low,Car,63,19,No,No,Night,Wednesday,Rural,Straight,Roundabout,Yes,No,No,Yes,-4.0,1
Urban Road,Rainy,3.6,Dry,Dark - Unlit,77.7,Low,Car,55,8,No,No,Night,Saturday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,17.0,1
Residential,Foggy,2.8,Muddy,Dusk/Dawn,113.8,High,Bus,18,19,No,Yes,Morning,Wednesday,Rural,Slight Curve,T-Junction,No,No,No,No,13.2,1
